station_id,station_name,country,region,access_lat,access_lon,access_mode,fixed_transfer_minutes,station_tier,skiable_km,source_type,source_reference,source_checked_at,manually_verified,confidence_0_100,notes
baqueira-beret,Baqueira Beret,ES,Catalunya,42.700731,0.936499,direct_drive,0,,169,public_operator,https://www.baqueira.es/en/datos-tecnicos-baqueira-beret,2026-08-21,false,70,Access point requires manual review.
boi-taull,Boí Taüll,ES,Catalunya,42.477100,0.869774,direct_drive,0,,45.282,official_open_data,https://dadesobertes.fgc.cat/explore/dataset/informacio-tecnica-estacions-turistics-dev/,2026-08-21,false,85,FGC representative station coordinate.
espot,Espot,ES,Catalunya,42.564126,1.093954,direct_drive,0,,25,official_open_data,https://dadesobertes.fgc.cat/explore/dataset/informacio-tecnica-estacions-turistics-dev/,2026-08-21,false,85,FGC representative station coordinate.
la-molina,La Molina,ES,Catalunya,42.336696,1.942802,direct_drive,0,,70.644,official_open_data,https://dadesobertes.fgc.cat/explore/dataset/informacio-tecnica-estacions-turistics-dev/,2026-08-21,false,85,FGC representative station coordinate.
masella,Masella,ES,Catalunya,42.350700,1.900600,direct_drive,0,,74,public_operator,https://www.masella.com/es/paginas/ficha-tecnica,2026-08-21,false,65,Access point requires manual review.
port-aine,Port Ainé,ES,Catalunya,42.428325,1.211841,direct_drive,0,,26.7,official_open_data,https://dadesobertes.fgc.cat/explore/dataset/informacio-tecnica-estacions-turistics-dev/,2026-08-21,false,85,FGC representative station coordinate.
port-del-comte,Port del Comte,ES,Catalunya,42.172900,1.562600,direct_drive,0,,,public_operator,https://portdelcomte.net/pistes/,2026-08-21,false,60,Access point and skiable kilometres require manual review.
tavascan,Tavascan,ES,Catalunya,42.680600,1.220700,direct_drive,0,,,public_operator,https://tavascan.net/,2026-08-21,false,55,Access point and skiable kilometres require manual review.
vall-de-nuria,Vall de Núria,ES,Catalunya,42.350400,2.163200,drive_plus_rail,20,,7.614,official_open_data,https://dadesobertes.fgc.cat/explore/dataset/informacio-tecnica-estacions-turistics-dev/,2026-08-21,false,65,Routes to Queralbs rack railway; transfer is an explicit approximation.
vallter,Vallter,ES,Catalunya,42.427676,2.265226,direct_drive,0,,13.58,official_open_data,https://dadesobertes.fgc.cat/explore/dataset/informacio-tecnica-estacions-turistics-dev/,2026-08-21,false,85,FGC representative station coordinate.
