municipality_code,municipality_name,comarca_code,comarca_name,reference_period,price_eur_m2_current,price_eur_m2_1y_ago,price_eur_m2_3y_ago,growth_1y_pct,cagr_3y_pct,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080018,Abrera,11,Baix Llobregat,2022-2025,2189.27,2130.75,1893.99,2.746451,4.947931,53.237,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,53.237,53.237,100,,official,default,true
080023,Aguilar de Segarra,07,Bages,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080039,Alella,21,Maresme,2022-2025,3973.74,3358.11,3273.78,18.332634,6.671889,67.4078,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,67.4078,67.4078,100,,official,default,true
080044,Alpens,43,Lluçanès,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080057,l'Ametlla del Vallès,41,Vallès Oriental,2022-2025,2016.8,1847.57,1717.7,9.159599,5.49661,57.7471,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,57.7471,57.7471,100,,official,default,true
080060,Arenys de Mar,21,Maresme,2022-2025,2776.73,2602.41,2829.46,6.698406,-0.625102,7.427,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,7.427,7.427,100,,official,default,true
080076,Arenys de Munt,21,Maresme,2022-2025,2453.09,1990.57,2071.76,23.235556,5.793263,60.1856,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,60.1856,60.1856,100,,official,default,true
080082,Argençola,06,Anoia,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080095,Argentona,21,Maresme,2022-2025,2955.41,2552.94,2318.42,15.764961,8.428107,81.8438,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,81.8438,81.8438,100,,official,default,true
080109,Artés,07,Bages,2022-2025,1300.74,1079.2,1192.69,20.528169,2.932923,36.6737,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,36.6737,36.6737,100,,official,default,true
080116,Avià,14,Berguedà,2022-2025,1582.91,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080121,Avinyó,07,Bages,2022-2025,981.24,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080137,Avinyonet del Penedès,03,Alt Penedès,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080142,Aiguafreda,24,Osona,2022-2025,1835.18,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080155,Badalona,13,Barcelonès,2022-2025,2760.89,2467.38,2275.94,11.895614,6.650468,67.2317,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,67.2317,67.2317,100,,official,default,true
080168,Bagà,14,Berguedà,2022-2025,2138.75,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080174,Balenyà,24,Osona,2022-2025,2302.04,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080180,Balsareny,07,Bages,2022-2025,1497.2,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080193,Barcelona,13,Barcelonès,2022-2025,4748.1,4403.89,4267.7,7.816044,3.619619,42.3183,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,42.3183,42.3183,100,,official,default,true
080207,Begues,11,Baix Llobregat,2022-2025,2913.91,2495.51,2301.96,16.766112,8.174805,79.7617,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,79.7617,79.7617,100,,official,default,true
080214,Bellprat,06,Anoia,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080229,Berga,14,Berguedà,2022-2025,1219.13,1188.23,1105.27,2.600507,3.322256,39.874,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,39.874,39.874,100,,official,default,true
080235,Bigues i Riells del Fai,41,Vallès Oriental,2022-2025,1776.28,1528.57,1488.1,16.205342,6.078272,62.5283,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,62.5283,62.5283,100,,official,default,true
080240,Borredà,14,Berguedà,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080253,el Bruc,06,Anoia,2022-2025,1840.79,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080266,el Brull,24,Osona,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080272,les Cabanyes,03,Alt Penedès,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080288,Cabrera d'Anoia,06,Anoia,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080291,Cabrera de Mar,21,Maresme,2022-2025,3778.91,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080305,Cabrils,21,Maresme,2022-2025,2891.94,2802.53,3267.12,3.190332,-3.984489,0,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,0,0,100,,official,default,true
080312,Calaf,06,Anoia,2022-2025,984.8,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080327,Caldes d'Estrac,21,Maresme,2022-2025,3207.14,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080333,Caldes de Montbui,41,Vallès Oriental,2022-2025,2242.91,2070.07,1909.41,8.349476,5.512574,57.8783,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,57.8783,57.8783,100,,official,default,true
080348,Calders,42,Moianès,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080351,Calella,21,Maresme,2022-2025,2418.87,2231.38,2273.05,8.402424,2.094226,29.7797,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,29.7797,29.7797,100,,official,default,true
080364,Calonge de Segarra,06,Anoia,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080370,Calldetenes,24,Osona,2022-2025,3046.39,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080386,Callús,07,Bages,2022-2025,1230.08,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080399,Campins,41,Vallès Oriental,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080403,Canet de Mar,21,Maresme,2022-2025,2364.88,2212.84,2462.96,6.870809,-1.34542,1.506,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,1.506,1.506,100,,official,default,true
080410,Canovelles,41,Vallès Oriental,2022-2025,1732.37,1647.74,1450.49,5.136126,6.098352,62.6934,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,62.6934,62.6934,100,,official,default,true
080425,Cànoves i Samalús,41,Vallès Oriental,2022-2025,2306.78,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080431,Canyelles,17,Garraf,2022-2025,1760.75,1879.13,,-6.299724,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080446,Capellades,06,Anoia,2022-2025,1149.29,1100.72,1097.85,4.412566,1.538063,25.2081,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,25.2081,25.2081,100,,official,default,true
080459,Capolat,14,Berguedà,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080462,Cardedeu,41,Vallès Oriental,2022-2025,2787.01,2334.36,2343.86,19.390754,5.942192,61.4098,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,61.4098,61.4098,100,,official,default,true
080478,Cardona,07,Bages,2022-2025,838.03,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080484,Carme,06,Anoia,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080497,Casserres,14,Berguedà,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080500,Castellar del Riu,14,Berguedà,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080517,Castellar del Vallès,40,Vallès Occidental,2022-2025,2267.16,2122.53,2117.38,6.814038,2.304433,31.5076,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,31.5076,31.5076,100,,official,default,true
080522,Castellar de n'Hug,14,Berguedà,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080538,Castellbell i el Vilar,07,Bages,2022-2025,1484.43,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080543,Castellbisbal,40,Vallès Occidental,2022-2025,2297.08,2106.75,2204.47,9.034295,1.381172,23.9184,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,23.9184,23.9184,100,,official,default,true
080556,Castellcir,42,Moianès,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080569,Castelldefels,11,Baix Llobregat,2022-2025,4665.37,4301.75,3966.38,8.452839,5.559484,58.2639,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,58.2639,58.2639,100,,official,default,true
