municipality_code,municipality_name,comarca_code,comarca_name,reference_period,rental_contracts,avg_monthly_rent_eur,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080018,Abrera,11,Baix Llobregat,2025,117,792.52,54.67,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,54.67,54.67,100,,official,default,true
080023,Aguilar de Segarra,07,Bages,2025,1,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080039,Alella,21,Maresme,2025,94,1464.66,100,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080044,Alpens,43,Lluçanès,2025,4,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080057,l'Ametlla del Vallès,41,Vallès Oriental,2025,56,1016.48,86.9683,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,86.9683,86.9683,100,,official,default,true
080060,Arenys de Mar,21,Maresme,2025,228,848.29,62.7129,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,62.7129,62.7129,100,,official,default,true
080076,Arenys de Munt,21,Maresme,2025,119,813.24,57.6582,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,57.6582,57.6582,100,,official,default,true
080082,Argençola,06,Anoia,2025,1,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080095,Argentona,21,Maresme,2025,119,909.18,71.4941,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,71.4941,71.4941,100,,official,default,true
080109,Artés,07,Bages,2025,80,513.68,14.4572,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,14.4572,14.4572,100,,official,default,true
080116,Avià,14,Berguedà,2025,37,610.3,28.3912,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,28.3912,28.3912,100,,official,default,true
080121,Avinyó,07,Bages,2025,20,581.72,24.2696,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,24.2696,24.2696,100,,official,default,true
080137,Avinyonet del Penedès,03,Alt Penedès,2025,18,912.93,72.0349,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,72.0349,72.0349,100,,official,default,true
080142,Aiguafreda,24,Osona,2025,57,696.11,40.7663,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,40.7663,40.7663,100,,official,default,true
080155,Badalona,13,Barcelonès,2025,2577,964.67,79.4966,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,79.4966,79.4966,100,,official,default,true
080168,Bagà,14,Berguedà,2025,19,490.39,11.0985,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,11.0985,11.0985,100,,official,default,true
080174,Balenyà,24,Osona,2025,43,565.73,21.9636,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,21.9636,21.9636,100,,official,default,true
080180,Balsareny,07,Bages,2025,37,532.39,17.1555,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,17.1555,17.1555,100,,official,default,true
080193,Barcelona,13,Barcelonès,2025,30789,1134.61,100,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080207,Begues,11,Baix Llobregat,2025,75,1229.56,100,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080214,Bellprat,06,Anoia,2025,1,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
