municipality_code,municipality_name,comarca_code,comarca_name,reference_period,population,sales_count,sales_per_1000,rental_contracts,rental_contracts_per_1000,sale_liquidity_score,rental_liquidity_score,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080018,Abrera,11,Baix Llobregat,2025 (2025S1),13207,119,9.010373,117,8.858938,21.1574,31.6533,25.3558,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,25.3558,25.3558,100,,official,default,true
080023,Aguilar de Segarra,07,Bages,2025 (2025S1),293,,,1,3.412969,,3.0443,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
080039,Alella,21,Maresme,2025 (2025S1),10251,104,10.145352,94,9.169837,26.8483,33.2865,29.4236,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,29.4236,29.4236,100,,official,default,true
080044,Alpens,43,Lluçanès,2025 (2025S1),267,,,4,14.981273,,63.8154,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
080057,l'Ametlla del Vallès,41,Vallès Oriental,2025 (2025S1),9473,95,10.028502,56,5.911538,26.2624,16.1699,22.2254,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,22.2254,22.2254,100,,official,default,true
080060,Arenys de Mar,21,Maresme,2025 (2025S1),16982,192,11.306089,228,13.42598,32.6683,55.6451,41.859,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,41.859,41.859,100,,official,default,true
080076,Arenys de Munt,21,Maresme,2025 (2025S1),9527,105,11.021308,119,12.490816,31.2404,50.7324,39.0372,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,39.0372,39.0372,100,,official,default,true
080082,Argençola,06,Anoia,2025 (2025S1),245,,,1,4.081633,,6.5569,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
080095,Argentona,21,Maresme,2025 (2025S1),12891,108,8.377938,119,9.231247,17.9863,33.6091,24.2354,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,24.2354,24.2354,100,,official,default,true
080109,Artés,07,Bages,2025 (2025S1),6211,49,7.889229,80,12.880374,15.5359,52.7789,30.4331,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,30.4331,30.4331,100,,official,default,true
080116,Avià,14,Berguedà,2025 (2025S1),2263,17,7.512152,37,16.349978,13.6452,71.0056,36.5894,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,36.5894,36.5894,100,,official,default,true
080121,Avinyó,07,Bages,2025 (2025S1),2325,18,7.741935,20,8.602151,14.7973,30.3043,21.0001,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,21.0001,21.0001,100,,official,default,true
080137,Avinyonet del Penedès,03,Alt Penedès,2025 (2025S1),1787,,,18,10.072748,,38.0297,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
080142,Aiguafreda,24,Osona,2025 (2025S1),2569,31,12.066952,57,22.187622,36.4834,100,61.89,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,61.89,61.89,100,,official,default,true
080155,Badalona,13,Barcelonès,2025 (2025S1),230642,1994,8.645433,2577,11.17316,19.3275,43.8105,29.1207,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,29.1207,29.1207,100,,official,default,true
080168,Bagà,14,Berguedà,2025 (2025S1),2167,36,16.612829,19,8.767882,59.2769,31.175,48.0361,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,48.0361,48.0361,100,,official,default,true
080174,Balenyà,24,Osona,2025 (2025S1),4007,38,9.483404,43,10.73122,23.5292,41.4888,30.713,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,30.713,30.713,100,,official,default,true
080180,Balsareny,07,Bages,2025 (2025S1),3354,31,9.242695,37,11.031604,22.3223,43.0668,30.6201,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,30.6201,30.6201,100,,official,default,true
080193,Barcelona,13,Barcelonès,2025 (2025S1),1713247,14515,8.472217,30789,17.971139,18.459,79.5219,42.8842,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,42.8842,42.8842,100,,official,default,true
080207,Begues,11,Baix Llobregat,2025 (2025S1),7545,70,9.277667,75,9.940358,22.4976,37.3343,28.4323,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,28.4323,28.4323,100,,official,default,true
080214,Bellprat,06,Anoia,2025 (2025S1),69,,,1,14.492754,,61.2491,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
080229,Berga,14,Berguedà,2025 (2025S1),17539,178,10.148811,324,18.473117,26.8656,82.1589,48.9829,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,48.9829,48.9829,100,,official,default,true
080235,Bigues i Riells del Fai,41,Vallès Oriental,2025 (2025S1),10124,112,11.062821,65,6.420387,31.4486,18.843,26.4064,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,26.4064,26.4064,100,,official,default,true
080240,Borredà,14,Berguedà,2025 (2025S1),434,,,18,41.474654,,100,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
080253,el Bruc,06,Anoia,2025 (2025S1),2294,23,10.026155,19,8.282476,26.2506,28.625,27.2004,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,27.2004,27.2004,100,,official,default,true
080266,el Brull,24,Osona,2025 (2025S1),297,,,,,,,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
080272,les Cabanyes,03,Alt Penedès,2025 (2025S1),1064,,,5,4.699248,,9.8014,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
080288,Cabrera d'Anoia,06,Anoia,2025 (2025S1),1777,,,3,1.688239,,0,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
080291,Cabrera de Mar,21,Maresme,2025 (2025S1),5053,30,5.937067,78,15.436374,5.7475,66.2062,29.931,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,29.931,29.931,100,,official,default,true
080305,Cabrils,21,Maresme,2025 (2025S1),7755,73,9.413282,67,8.639587,23.1776,30.501,26.107,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,26.107,26.107,100,,official,default,true
080312,Calaf,06,Anoia,2025 (2025S1),3627,65,17.921147,56,15.439757,65.8369,66.2239,65.9917,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,65.9917,65.9917,100,,official,default,true
080327,Caldes d'Estrac,21,Maresme,2025 (2025S1),3348,64,19.11589,41,12.246117,71.8275,49.447,62.8753,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,62.8753,62.8753,100,,official,default,true
080333,Caldes de Montbui,41,Vallès Oriental,2025 (2025S1),18554,132,7.114369,292,15.737846,11.6506,67.7899,34.1063,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,34.1063,34.1063,100,,official,default,true
080348,Calders,42,Moianès,2025 (2025S1),1121,,,9,8.028546,,27.291,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
080351,Calella,21,Maresme,2025 (2025S1),20775,256,12.322503,322,15.499398,37.7648,66.5373,49.2738,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,49.2738,49.2738,100,,official,default,true
080364,Calonge de Segarra,06,Anoia,2025 (2025S1),179,,,2,11.173184,,43.8106,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
080370,Calldetenes,24,Osona,2025 (2025S1),2724,9,3.303965,28,10.279001,0,39.1132,15.6453,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,15.6453,15.6453,100,,official,default,true
080386,Callús,07,Bages,2025 (2025S1),2193,13,5.927953,33,15.04788,5.7018,64.1653,29.0872,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,29.0872,29.0872,100,,official,default,true
080399,Campins,41,Vallès Oriental,2025 (2025S1),588,,,15,25.510204,,100,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
080403,Canet de Mar,21,Maresme,2025 (2025S1),15191,151,9.940096,230,15.140544,25.8191,64.6521,41.3523,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,41.3523,41.3523,100,,official,default,true
080410,Canovelles,41,Vallès Oriental,2025 (2025S1),17445,171,9.802236,112,6.420178,25.1279,18.8419,22.6135,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,22.6135,22.6135,100,,official,default,true
080425,Cànoves i Samalús,41,Vallès Oriental,2025 (2025S1),3393,38,11.199528,34,10.020631,32.134,37.7559,34.3828,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,34.3828,34.3828,100,,official,default,true
