municipality_code,municipality_name,comarca_code,comarca_name,reference_period,touches_coast,distance_to_coast_km,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080018,Abrera,11,Baix Llobregat,2026-02,false,27.857199,57.2843,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,57.2843,57.2843,100,,official,default,true
080023,Aguilar de Segarra,07,Bages,2026-02,false,57.891419,31.4168,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,31.4168,31.4168,100,,official,default,true
080039,Alella,21,Maresme,2026-02,false,2.221787,95.6537,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,95.6537,95.6537,100,,official,default,true
080044,Alpens,43,Lluçanès,2026-02,false,70.576776,24.3769,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,24.3769,24.3769,100,,official,default,true
080057,l'Ametlla del Vallès,41,Vallès Oriental,2026-02,false,21.875102,64.5647,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,64.5647,64.5647,100,,official,default,true
080060,Arenys de Mar,21,Maresme,2026-02,true,0.19174,100,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,100,100,100,,official,default,true
080076,Arenys de Munt,21,Maresme,2026-02,false,3.520707,93.2008,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,93.2008,93.2008,100,,official,default,true
080082,Argençola,06,Anoia,2026-02,false,46.807068,39.2138,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,39.2138,39.2138,100,,official,default,true
080095,Argentona,21,Maresme,2026-02,false,4.307634,91.7454,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,91.7454,91.7454,100,,official,default,true
080109,Artés,07,Bages,2026-02,false,45.782778,40.0254,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,40.0254,40.0254,100,,official,default,true
080116,Avià,14,Berguedà,2026-02,false,77.725495,21.1293,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,21.1293,21.1293,100,,official,default,true
080121,Avinyó,07,Bages,2026-02,false,51.1001,35.9874,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,35.9874,35.9874,100,,official,default,true
080137,Avinyonet del Penedès,03,Alt Penedès,2026-02,false,14.209804,75.2619,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,75.2619,75.2619,100,,official,default,true
080142,Aiguafreda,24,Osona,2026-02,false,30.548206,54.2827,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,54.2827,54.2827,100,,official,default,true
080155,Badalona,13,Barcelonès,2026-02,true,0.721623,100,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,100,100,100,,official,default,true
080168,Bagà,14,Berguedà,2026-02,false,93.212376,15.5013,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,15.5013,15.5013,100,,official,default,true
080174,Balenyà,24,Osona,2026-02,false,35.458933,49.2048,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,49.2048,49.2048,100,,official,default,true
080180,Balsareny,07,Bages,2026-02,false,55.351548,33.0539,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,33.0539,33.0539,100,,official,default,true
080193,Barcelona,13,Barcelonès,2026-02,true,0.564076,100,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,100,100,100,,official,default,true
080207,Begues,11,Baix Llobregat,2026-02,false,7.856446,85.4594,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,85.4594,85.4594,100,,official,default,true
080214,Bellprat,06,Anoia,2026-02,false,38.197021,46.5827,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,46.5827,46.5827,100,,official,default,true
080229,Berga,14,Berguedà,2026-02,false,79.511823,20.3877,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,20.3877,20.3877,100,,official,default,true
080235,Bigues i Riells del Fai,41,Vallès Oriental,2026-02,false,23.477845,62.5279,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,62.5279,62.5279,100,,official,default,true
080240,Borredà,14,Berguedà,2026-02,false,76.391266,21.7007,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,21.7007,21.7007,100,,official,default,true
080253,el Bruc,06,Anoia,2026-02,false,37.135063,47.5827,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,47.5827,47.5827,100,,official,default,true
