municipality_code,municipality_name,comarca_code,comarca_name,reference_period,area_km2,natural_area_pct,forest_area_pct,protected_area_pct,elevation_mean,elevation_p05,elevation_p95,elevation_range_p90,mean_slope_deg,terrain_ruggedness,water_wetland_pct,touches_coast,landscape_units_count,landscape_diversity_entropy,official_viewpoints_count,viewpoints_per_100km2,natural_score,protected_score,relief_score,water_score,recognition_score,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080018,Abrera,11,Baix Llobregat,2024-2026,19.9781,53.026506,28.999639,6.75288,130.859164,60.543601,217.235072,156.691471,9.130569,49.22697,2.958642,false,,,,,50.2902,8.1928,22.6148,59.6972,,34.258,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,34.258,34.258,100,,official,landscape_core,true
080023,Aguilar de Segarra,07,Bages,2024-2026,43.2198,66.618927,46.29933,0.019436,582.713744,457.535661,699.693216,242.157555,13.425647,75.404162,0.00857,false,,,,,65.515,0.0236,36.2918,0.0263,,32.013,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,32.013,32.013,100,,official,landscape_core,true
080039,Alella,21,Maresme,2024-2026,9.6346,49.615224,31.262581,55.188807,188.882464,51.853205,378.290161,326.436956,12.895419,99.187163,0.972608,false,,,,,46.4692,66.9565,39.0474,19.5259,,45.6941,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,45.6941,45.6941,100,,official,landscape_core,true
080044,Alpens,43,Lluçanès,2024-2026,13.7788,85.963719,75.686463,0,882.504196,772.266074,1060.719659,288.453586,14.656372,89.409376,0.037263,false,,,,,87.183,0,41.2327,0.6067,,40.9132,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,40.9132,40.9132,100,,official,landscape_core,true
080057,l'Ametlla del Vallès,41,Vallès Oriental,2024-2026,14.0885,38.23436,30.624409,0.013864,287.471303,196.518805,535.618909,339.100104,7.402066,106.782806,0.322529,false,,,,,33.7216,0.0168,27.2707,6.3767,,19.5809,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,19.5809,19.5809,100,,official,landscape_core,true
080060,Arenys de Mar,21,Maresme,2024-2026,6.4836,45.821592,18.086053,0,58.446815,4.186742,109.969055,105.782313,9.016678,31.130684,1.244584,true,,,,,42.22,0,19.9726,65.0271,,29.5242,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,29.5242,29.5242,100,,official,landscape_core,true
080076,Arenys de Munt,21,Maresme,2024-2026,21.6815,76.327519,60.082164,18.15934,238.432181,107.643951,429.932635,322.288684,15.757086,97.553354,0.778904,false,,,,,76.3896,22.0314,45.2969,15.6078,,45.9096,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,45.9096,45.9096,100,,official,landscape_core,true
080082,Argençola,06,Anoia,2024-2026,47.3814,63.134304,54.799433,6.04186,635.694322,501.930188,753.524921,251.594733,14.047117,75.749056,0,false,,,,,61.6119,7.3301,38.1334,0,,32.9301,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,32.9301,32.9301,100,,official,landscape_core,true
080095,Argentona,21,Maresme,2024-2026,25.3281,73.2404,60.077625,45.996655,178.80068,57.502992,323.897845,266.394854,13.407143,84.047037,0.71861,false,,,,,72.9317,55.8043,37.3859,14.3882,,50.9819,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,50.9819,50.9819,100,,official,landscape_core,true
080109,Artés,07,Bages,2024-2026,17.8445,42.216299,26.818761,0,334.395536,264.391533,453.884755,189.493222,8.454897,61.094674,0.743446,false,,,,,38.1817,0,22.6304,14.8906,,21.2548,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,21.2548,21.2548,100,,official,landscape_core,true
