municipality_code,municipality_name,comarca_code,comarca_name,reference_period,resident_population,non_resident_present,resident_absent,population_etca,population_etca_pct,etca_pressure,hut_count,hut_per_1000,hotel_count,rural_count,camping_count,tourist_establishments_count,tourist_establishments_per_1000,ieet_available,ieet_total_eur,ieet_hut_eur,ieet_eur_per_resident,etca_score,hut_density_score,tourist_supply_score,ieet_score,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080018,Abrera,11,Baix Llobregat,2024,12981,1889,-2018,12852,99,0.990062,6,0.462214,1,0,0,7,0.53925,false,,,,19.0952,0.4726,0.1576,,10.652,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,10.652,10.652,100,,official,default,true
080023,Aguilar de Segarra,07,Bages,2024,,,,,,,1,3.412969,0,4,0,5,17.064846,false,,,,,3.4893,12.0694,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
080039,Alella,21,Maresme,2024,10200,1064,-1973,9291,91.1,0.910882,144,14.117647,2,0,0,146,14.313725,false,,,,7.4172,14.4334,10.0863,,9.7051,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,9.7051,9.7051,100,,official,default,true
080044,Alpens,43,Lluçanès,2024,,,,,,,11,41.198502,1,3,0,15,56.179775,false,,,,,42.1199,40.2637,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
080057,l'Ametlla del Vallès,41,Vallès Oriental,2024,9448,961,-1734,8675,91.8,0.918184,20,2.11685,0,5,0,25,2.646063,false,,,,8.494,2.1642,1.6762,,5.548,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,5.548,5.548,100,,official,default,true
080060,Arenys de Mar,21,Maresme,2024,16513,1951,-2029,16436,99.5,0.995337,227,13.746745,8,0,3,238,14.412887,false,,,,19.8731,14.0542,10.1578,,16.4753,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,16.4753,16.4753,100,,official,default,true
080076,Arenys de Munt,21,Maresme,2024,9444,399,-1546,8297,87.9,0.878547,81,8.576874,0,0,0,81,8.576874,false,,,,2.6482,8.7687,5.9512,,4.8389,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,4.8389,4.8389,100,,official,default,true
080082,Argençola,06,Anoia,2024,,,,,,,3,12.244898,0,2,0,5,20.408163,false,,,,,12.5187,14.4793,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
080095,Argentona,21,Maresme,2024,12850,1112,-1927,12035,93.7,0.936576,62,4.824903,1,1,0,64,4.980545,false,,,,11.2066,4.9328,3.3589,,8.0686,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,8.0686,8.0686,100,,official,default,true
080109,Artés,07,Bages,2024,6051,413,-741,5723,94.6,0.945794,4,0.661048,0,1,0,5,0.82631,false,,,,12.5662,0.6758,0.3645,,7.1533,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,7.1533,7.1533,100,,official,default,true
