municipality_code,municipality_name,comarca_code,comarca_name,reference_period,subject_to_special_hut_license_regime,existing_hut_count,population,hut_per_100_residents,explicit_local_moratorium,explicit_local_prohibition,local_regulation_checked,regulation_reference,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080018,Abrera,11,Baix Llobregat,2025S1,true,6,13207,0.04543,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080023,Aguilar de Segarra,07,Bages,2025S1,false,1,293,0.341297,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080039,Alella,21,Maresme,2025S1,true,144,10251,1.404741,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080044,Alpens,43,Lluçanès,2025S1,false,11,267,4.11985,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080057,l'Ametlla del Vallès,41,Vallès Oriental,2025S1,false,20,9473,0.211126,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080060,Arenys de Mar,21,Maresme,2025S1,true,227,16982,1.336709,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080076,Arenys de Munt,21,Maresme,2025S1,true,81,9527,0.850215,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080082,Argençola,06,Anoia,2025S1,false,3,245,1.22449,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080095,Argentona,21,Maresme,2025S1,true,62,12891,0.480956,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080109,Artés,07,Bages,2025S1,false,4,6211,0.064402,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080116,Avià,14,Berguedà,2025S1,false,20,2263,0.883783,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080121,Avinyó,07,Bages,2025S1,false,6,2325,0.258065,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080137,Avinyonet del Penedès,03,Alt Penedès,2025S1,false,19,1787,1.063234,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080142,Aiguafreda,24,Osona,2025S1,false,10,2569,0.389257,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
