municipality_code,municipality_name,comarca_code,comarca_name,reference_period,population_current,population_1y_ago,population_5y_ago,population_change_5y,growth_1y_pct,cagr_5y_pct,trend_score,scale_adjusted_growth_score,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080018,Abrera,11,Baix Llobregat,2025,13227,13014,12538,689,1.636699,1.075667,52.7685,93.2047,64.8994,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,64.8994,64.8994,100,,official,annual_trend_scale_adjusted,true
080023,Aguilar de Segarra,07,Bages,2025,292,291,282,10,0.343643,0.699369,43.8785,52.737,46.536,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,46.536,46.536,100,,official,annual_trend_scale_adjusted,true
080039,Alella,21,Maresme,2025,10262,10217,9904,358,0.440442,0.712708,44.1937,86.8163,56.9805,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,56.9805,56.9805,100,,official,annual_trend_scale_adjusted,true
080044,Alpens,43,Lluçanès,2025,267,270,261,6,-1.111111,0.4556,38.1195,48.3176,41.1789,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,41.1789,41.1789,100,,official,annual_trend_scale_adjusted,true
080057,l'Ametlla del Vallès,41,Vallès Oriental,2025,9474,9462,8646,828,0.126823,1.845919,70.9654,94.9991,78.1755,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,78.1755,78.1755,100,,official,annual_trend_scale_adjusted,true
080060,Arenys de Mar,21,Maresme,2025,17042,16642,15941,1101,2.403557,1.34469,59.1241,97.7825,70.7216,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,70.7216,70.7216,100,,official,annual_trend_scale_adjusted,true
080076,Arenys de Munt,21,Maresme,2025,9558,9458,9121,437,1.057306,0.940375,49.5722,88.761,61.3288,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,61.3288,61.3288,100,,official,annual_trend_scale_adjusted,true
080082,Argençola,06,Anoia,2025,245,237,219,26,3.375527,2.269091,80.9628,61.5167,75.129,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,75.129,75.129,100,,official,annual_trend_scale_adjusted,true
080095,Argentona,21,Maresme,2025,12891,12844,12536,355,0.36593,0.56006,40.5874,86.7342,54.4314,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,54.4314,54.4314,100,,official,annual_trend_scale_adjusted,true
080109,Artés,07,Bages,2025,6225,6084,5762,463,2.317554,1.557785,64.1584,89.3248,71.7083,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,71.7083,71.7083,100,,official,annual_trend_scale_adjusted,true
080116,Avià,14,Berguedà,2025,2267,2243,2220,47,1.069996,0.419883,37.2757,67.1424,46.2357,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,46.2357,46.2357,100,,official,annual_trend_scale_adjusted,true
080121,Avinyó,07,Bages,2025,2322,2313,2289,33,0.389105,0.286687,34.129,63.7707,43.0215,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,43.0215,43.0215,100,,official,annual_trend_scale_adjusted,true
080137,Avinyonet del Penedès,03,Alt Penedès,2025,1782,1744,1697,85,2.178899,0.98228,50.5622,72.8442,57.2468,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,57.2468,57.2468,100,,official,annual_trend_scale_adjusted,true
080142,Aiguafreda,24,Osona,2025,2569,2576,2512,57,-0.271739,0.449758,37.9815,68.9928,47.2849,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,47.2849,47.2849,100,,official,annual_trend_scale_adjusted,true
080155,Badalona,13,Barcelonès,2025,231542,227083,223166,8376,1.963599,0.73963,44.8297,100,61.3808,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,61.3808,61.3808,100,,official,annual_trend_scale_adjusted,true
080168,Bagà,14,Berguedà,2025,2161,2182,2140,21,-0.96242,0.195496,31.9746,59.5143,40.2365,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,40.2365,40.2365,100,,official,annual_trend_scale_adjusted,true
080174,Balenyà,24,Osona,2025,4021,4036,3840,181,-0.371655,0.925421,49.2189,80.1741,58.5055,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,58.5055,58.5055,100,,official,annual_trend_scale_adjusted,true
