municipality_code,municipality_name,comarca_code,comarca_name,reference_period,rfdb_total_eur,rfdb_eur_per_capita,rfdb_index_catalonia_100,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080018,Abrera,11,Baix Llobregat,2023,262812000,20357,97.9,54.9944,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,54.9944,54.9944,100,,official,default,true
080023,Aguilar de Segarra,07,Bages,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080039,Alella,21,Maresme,2023,359949000,35425,170.4,100,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080044,Alpens,43,Lluçanès,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080057,l'Ametlla del Vallès,41,Vallès Oriental,2023,251196000,26831,129.1,100,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080060,Arenys de Mar,21,Maresme,2023,337932000,20604,99.1,57.6708,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,57.6708,57.6708,100,,official,default,true
080076,Arenys de Munt,21,Maresme,2023,199257000,21150,101.7,63.587,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,63.587,63.587,100,,official,default,true
080082,Argençola,06,Anoia,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080095,Argentona,21,Maresme,2023,283797000,22084,106.2,73.7075,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,73.7075,73.7075,100,,official,default,true
080109,Artés,07,Bages,2023,118537000,19704,94.8,47.9188,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,47.9188,47.9188,100,,official,default,true
080116,Avià,14,Berguedà,2023,45622000,20276,97.5,54.1167,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,54.1167,54.1167,100,,official,default,true
080121,Avinyó,07,Bages,2023,46103000,20088,96.6,52.0796,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,52.0796,52.0796,100,,official,default,true
080137,Avinyonet del Penedès,03,Alt Penedès,2023,34280000,19656,94.5,47.3986,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,47.3986,47.3986,100,,official,default,true
080142,Aiguafreda,24,Osona,2023,58537000,22715,109.3,80.5447,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,80.5447,80.5447,100,,official,default,true
080155,Badalona,13,Barcelonès,2023,4305624000,19114,91.9,41.5258,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,41.5258,41.5258,100,,official,default,true
080168,Bagà,14,Berguedà,2023,44690000,20633,99.2,57.985,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,57.985,57.985,100,,official,default,true
080174,Balenyà,24,Osona,2023,72221000,18132,87.2,30.8852,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,30.8852,30.8852,100,,official,default,true
080180,Balsareny,07,Bages,2023,64056000,19376,93.2,44.3647,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,44.3647,44.3647,100,,official,default,true
080193,Barcelona,13,Barcelonès,2023,43278408000,25898,124.6,100,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080207,Begues,11,Baix Llobregat,2023,205036000,27588,132.7,100,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080214,Bellprat,06,Anoia,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080229,Berga,14,Berguedà,2023,330234000,19322,92.9,43.7796,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,43.7796,43.7796,100,,official,default,true
080235,Bigues i Riells del Fai,41,Vallès Oriental,2023,215950000,21632,104.1,68.8098,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,68.8098,68.8098,100,,official,default,true
080240,Borredà,14,Berguedà,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080253,el Bruc,06,Anoia,2023,47646000,20779,99.9,59.567,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,59.567,59.567,100,,official,default,true
080266,el Brull,24,Osona,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080272,les Cabanyes,03,Alt Penedès,2023,21232000,21169,101.8,63.7929,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,63.7929,63.7929,100,,official,default,true
080288,Cabrera d'Anoia,06,Anoia,2023,28793000,16967,81.6,18.2618,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,18.2618,18.2618,100,,official,default,true
080291,Cabrera de Mar,21,Maresme,2023,138383000,27805,133.7,100,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080305,Cabrils,21,Maresme,2023,243673000,31280,150.5,100,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080312,Calaf,06,Anoia,2023,64208000,17930,86.2,28.6964,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,28.6964,28.6964,100,,official,default,true
080327,Caldes d'Estrac,21,Maresme,2023,73567000,22797,109.7,81.4332,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,81.4332,81.4332,100,,official,default,true
080333,Caldes de Montbui,41,Vallès Oriental,2023,379424000,20817,100.1,59.9788,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,59.9788,59.9788,100,,official,default,true
080348,Calders,42,Moianès,2023,23684000,21414,103,66.4476,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,66.4476,66.4476,100,,official,default,true
080351,Calella,21,Maresme,2023,343012000,17163,82.6,20.3855,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,20.3855,20.3855,100,,official,default,true
080364,Calonge de Segarra,06,Anoia,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080370,Calldetenes,24,Osona,2023,53613000,20254,97.4,53.8783,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,53.8783,53.8783,100,,official,default,true
080386,Callús,07,Bages,2023,41591000,19646,94.5,47.2903,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,47.2903,47.2903,100,,official,default,true
080399,Campins,41,Vallès Oriental,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080403,Canet de Mar,21,Maresme,2023,291318000,19325,93,43.8121,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,43.8121,43.8121,100,,official,default,true
080410,Canovelles,41,Vallès Oriental,2023,291018000,16970,81.6,18.2943,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,18.2943,18.2943,100,,official,default,true
080425,Cànoves i Samalús,41,Vallès Oriental,2023,67867000,20491,98.6,56.4464,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,56.4464,56.4464,100,,official,default,true
080431,Canyelles,17,Garraf,2023,97992000,18527,89.1,35.1653,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,35.1653,35.1653,100,,official,default,true
080446,Capellades,06,Anoia,2023,104884000,19112,91.9,41.5041,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,41.5041,41.5041,100,,official,default,true
080459,Capolat,14,Berguedà,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080462,Cardedeu,41,Vallès Oriental,2023,404401000,21212,102,64.2588,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,64.2588,64.2588,100,,official,default,true
080478,Cardona,07,Bages,2023,96809000,21221,102.1,64.3563,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,64.3563,64.3563,100,,official,default,true
080484,Carme,06,Anoia,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080497,Casserres,14,Berguedà,2023,31588000,19041,91.6,40.7348,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,40.7348,40.7348,100,,official,default,true
080500,Castellar del Riu,14,Berguedà,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080517,Castellar del Vallès,40,Vallès Occidental,2023,542912000,21534,103.6,67.7479,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,67.7479,67.7479,100,,official,default,true
080522,Castellar de n'Hug,14,Berguedà,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080538,Castellbell i el Vilar,07,Bages,2023,72206000,17624,84.8,25.3807,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,25.3807,25.3807,100,,official,default,true
