municipality_code,municipality_name,comarca_code,comarca_name,reference_period,hospital_minutes,primary_care_minutes,supermarket_minutes,school_minutes,rail_station_minutes,pharmacy_minutes,hospital_score,primary_care_score,supermarket_score,school_score,rail_station_score,pharmacy_score,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080018,Abrera,11,Baix Llobregat,2026-08-20,8.223833,1.956167,0.863833,1.700667,6.317667,0.100167,93.5523,100,100,100,97.3647,100,97.861,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,97.861,97.861,100,,open_community,osm_cross_border_nearest5_ors,true
080023,Aguilar de Segarra,07,Bages,2026-08-20,25.2315,10.246,10.5375,9.7795,1.657333,10.0245,59.537,89.508,88.925,90.441,100,89.951,84.1346,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,84.1346,84.1346,100,,open_community,osm_cross_border_nearest5_ors,true
080039,Alella,21,Maresme,2026-08-20,8.965667,6.473833,0.431,0.4875,6.5275,0.351167,92.0687,97.0523,100,100,96.945,100,96.964,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,96.964,96.964,100,,open_community,osm_cross_border_nearest5_ors,true
080044,Alpens,43,Lluçanès,2026-08-20,37.529667,27.453667,22.576667,1.845333,22.268,1.048667,39.9604,55.0927,64.8467,100,65.464,100,64.3161,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,64.3161,64.3161,100,,open_community,osm_cross_border_nearest5_ors,true
080057,l'Ametlla del Vallès,41,Vallès Oriental,2026-08-20,18.2455,5.780167,4.701167,6.346667,11.472,4.589167,73.509,98.4397,100,97.3067,87.056,100,90.2851,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,90.2851,90.2851,100,,open_community,osm_cross_border_nearest5_ors,true
080060,Arenys de Mar,21,Maresme,2026-08-20,10.442833,4.8685,1.7885,2.403,3.817167,1.395833,89.1143,100,100,100,100,100,97.2786,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,97.2786,97.2786,100,,open_community,osm_cross_border_nearest5_ors,true
080076,Arenys de Munt,21,Maresme,2026-08-20,1.515333,7.5955,3.147333,1.600833,9.742833,0.216167,100,94.809,100,100,90.5143,100,97.3242,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,97.3242,97.3242,100,,open_community,osm_cross_border_nearest5_ors,true
080082,Argençola,06,Anoia,2026-08-20,19.733,14.418333,13.521833,14.364333,14.4155,14.108167,70.534,81.1633,82.9563,81.2713,81.169,81.7837,78.9386,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,78.9386,78.9386,100,,open_community,osm_cross_border_nearest5_ors,true
080095,Argentona,21,Maresme,2026-08-20,13.768167,3.181667,5.566,5.417833,15.319,5.2085,82.4637,100,98.868,99.1643,79.362,99.583,91.1367,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,91.1367,91.1367,100,,open_community,osm_cross_border_nearest5_ors,true
080109,Artés,07,Bages,2026-08-20,14.110833,2.541667,0.607,0.323167,17.354,0.426333,81.7783,100,100,100,75.292,100,90.503,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,90.503,90.503,100,,open_community,osm_cross_border_nearest5_ors,true
080116,Avià,14,Berguedà,2026-08-20,9.5825,1.318167,6.045,2.099167,32.697167,0.899833,90.835,100,97.91,100,46.4038,100,86.5715,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,86.5715,86.5715,100,,open_community,osm_cross_border_nearest5_ors,true
080121,Avinyó,07,Bages,2026-08-20,1.867667,15.0755,2.4865,1.429,22.282,0.287833,100,79.849,100,100,65.436,100,90.0645,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,90.0645,90.0645,100,,open_community,osm_cross_border_nearest5_ors,true
080137,Avinyonet del Penedès,03,Alt Penedès,2026-08-20,9.621333,4.324167,3.921333,1.643333,8.4515,0.3975,90.7573,100,100,100,93.097,100,96.3087,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,96.3087,96.3087,100,,open_community,osm_cross_border_nearest5_ors,true
080142,Aiguafreda,24,Osona,2026-08-20,20.692333,0.713333,1.088833,1.866,4.523667,0.575167,68.6153,100,100,100,100,100,92.1538,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,92.1538,92.1538,100,,open_community,osm_cross_border_nearest5_ors,true
080155,Badalona,13,Barcelonès,2026-08-20,0.664833,0.320667,0.632333,0,3.252,1.5155,100,100,100,100,100,100,100,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,100,100,100,,open_community,osm_cross_border_nearest5_ors,true
080168,Bagà,14,Berguedà,2026-08-20,24.453833,7.308333,3.267833,2.9145,12.483667,2.410167,61.0923,95.3833,100,100,85.0327,100,86.5871,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,86.5871,86.5871,100,,open_community,osm_cross_border_nearest5_ors,true
080174,Balenyà,24,Osona,2026-08-20,16.103667,8.527333,5.3195,1.504,1.842833,0.158833,77.7927,92.9453,99.361,100,100,100,93.2622,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,93.2622,93.2622,100,,open_community,osm_cross_border_nearest5_ors,true
080180,Balsareny,07,Bages,2026-08-20,18.858167,0.174,1.660833,0.661333,19.007167,1.559667,72.2837,100,100,100,71.9857,100,87.4681,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,87.4681,87.4681,100,,open_community,osm_cross_border_nearest5_ors,true
080193,Barcelona,13,Barcelonès,2026-08-20,4.776167,3.041167,1.149833,5.046667,3.475833,0.391,100,100,100,99.9067,100,100,99.9907,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,99.9907,99.9907,100,,open_community,osm_cross_border_nearest5_ors,true
080207,Begues,11,Baix Llobregat,2026-08-20,22.946333,1.802,18.5765,2.417,24.0765,3.8925,64.1073,100,72.847,100,61.847,100,77.9656,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,77.9656,77.9656,100,,open_community,osm_cross_border_nearest5_ors,true
080214,Bellprat,06,Anoia,2026-08-20,25.307,7.6475,7.241167,8.251,22.494,8.550333,59.386,94.705,95.5177,93.498,65.012,92.8993,79.7979,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,79.7979,79.7979,100,,open_community,osm_cross_border_nearest5_ors,true
