municipality_code,municipality_name,comarca_code,comarca_name,reference_period,flood_t10_pct,flood_t100_pct,flood_t500_pct,preferred_flow_zone_pct,flood_risk_raw,flood_safety_score,high_fire_risk_area_pct,very_high_fire_risk_area_pct,fire_risk_raw,fire_safety_score,flood_red_flag,fire_red_flag,risk_review_required,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080018,Abrera,11,Baix Llobregat,2024,,,,,,,33.874239,24.74645,83.36714,34.9937,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,15.7472,70.7472,45,,official,territorial_fire_7_8_high_9_10_very_high,false
080023,Aguilar de Segarra,07,Bages,2024,,,,,,,35.277383,9.886202,55.049787,57.5676,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,25.9054,80.9054,45,,official,territorial_fire_7_8_high_9_10_very_high,false
080039,Alella,21,Maresme,2024,,,,,,,28.409091,7.954545,44.318182,66.1226,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,29.7552,84.7552,45,,official,territorial_fire_7_8_high_9_10_very_high,false
080044,Alpens,43,Lluçanès,2024,,,,,,,32.613909,3.277378,39.168665,70.2276,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,31.6024,86.6024,45,,official,territorial_fire_7_8_high_9_10_very_high,false
080057,l'Ametlla del Vallès,41,Vallès Oriental,2024,,,,,,,35.07014,26.452906,87.975952,31.3197,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,14.0939,69.0939,45,,official,territorial_fire_7_8_high_9_10_very_high,false
080060,Arenys de Mar,21,Maresme,2024,,,,,,,7.66129,5.241935,18.145161,86.9871,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,39.1442,94.1442,45,,official,territorial_fire_7_8_high_9_10_very_high,false
080076,Arenys de Munt,21,Maresme,2024,,,,,,,32.192575,15.545244,63.283063,51.0042,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,22.9519,77.9519,45,,official,territorial_fire_7_8_high_9_10_very_high,false
080082,Argençola,06,Anoia,2024,,,,,,,37.403814,53.195049,143.793911,0,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,0,55,45,,official,territorial_fire_7_8_high_9_10_very_high,false
080095,Argentona,21,Maresme,2024,,,,,,,37.008734,32.20524,101.419214,20.603,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,9.2714,64.2714,45,,official,territorial_fire_7_8_high_9_10_very_high,false
080109,Artés,07,Bages,2024,,,,,,,38.169014,17.746479,73.661972,42.7304,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,19.2287,74.2287,45,,official,territorial_fire_7_8_high_9_10_very_high,false
