municipality_code,municipality_name,comarca_code,comarca_name,province_code,province_name,territorial_area_code,territorial_area_name,capital_lat,capital_lon,area_km2,geometry_source_date
080018,Abrera,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.516171,1.902602,19.9781,
080023,Aguilar de Segarra,07,Bages,08,Barcelona,07,Catalunya Central,41.739169,1.631966,43.2198,
080039,Alella,21,Maresme,08,Barcelona,01,Barcelona,41.493732,2.294957,9.6346,
080044,Alpens,43,Lluçanès,08,Barcelona,07,Catalunya Central,42.119321,2.101273,13.7788,
080057,l'Ametlla del Vallès,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.673301,2.259256,14.0885,
080060,Arenys de Mar,21,Maresme,08,Barcelona,01,Barcelona,41.579385,2.551498,6.4836,
080076,Arenys de Munt,21,Maresme,08,Barcelona,01,Barcelona,41.608993,2.540381,21.6815,
080082,Argençola,06,Anoia,08,Barcelona,08,Penedès,41.597833,1.443555,47.3814,
080095,Argentona,21,Maresme,08,Barcelona,01,Barcelona,41.554727,2.400664,25.3281,
080109,Artés,07,Bages,08,Barcelona,07,Catalunya Central,41.798194,1.953516,17.8445,
080116,Avià,14,Berguedà,08,Barcelona,07,Catalunya Central,42.077717,1.825612,27.1686,
080121,Avinyó,07,Bages,08,Barcelona,07,Catalunya Central,41.863753,1.971318,63.5617,
080137,Avinyonet del Penedès,03,Alt Penedès,08,Barcelona,08,Penedès,41.361031,1.777332,29.1865,
080142,Aiguafreda,24,Osona,08,Barcelona,07,Catalunya Central,41.767986,2.250545,7.9335,
080155,Badalona,13,Barcelonès,08,Barcelona,01,Barcelona,41.452263,2.245877,21.0792,
080168,Bagà,14,Berguedà,08,Barcelona,07,Catalunya Central,42.252816,1.861926,43.0645,
080174,Balenyà,24,Osona,08,Barcelona,07,Catalunya Central,41.81369,2.235819,17.2358,
080180,Balsareny,07,Bages,08,Barcelona,07,Catalunya Central,41.863115,1.876766,36.6795,
080193,Barcelona,13,Barcelonès,08,Barcelona,01,Barcelona,41.382721,2.177033,101.8225,
080207,Begues,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.332673,1.921745,50.483,
080214,Bellprat,06,Anoia,08,Barcelona,08,Penedès,41.517152,1.433983,31.1764,
080229,Berga,14,Berguedà,08,Barcelona,07,Catalunya Central,42.104365,1.846218,22.3751,
080235,Bigues i Riells del Fai,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.677289,2.221916,28.6218,
080240,Borredà,14,Berguedà,08,Barcelona,07,Catalunya Central,42.135571,1.99414,43.3751,
080253,el Bruc,06,Anoia,08,Barcelona,08,Penedès,41.57762,1.784023,47.3829,
080266,el Brull,24,Osona,08,Barcelona,07,Catalunya Central,41.816877,2.305248,41.1557,
080272,les Cabanyes,03,Alt Penedès,08,Barcelona,08,Penedès,41.37148,1.689134,1.1527,
080288,Cabrera d'Anoia,06,Anoia,08,Barcelona,08,Penedès,41.477803,1.703906,17.0837,
080291,Cabrera de Mar,21,Maresme,08,Barcelona,01,Barcelona,41.525901,2.393297,8.9359,
080305,Cabrils,21,Maresme,08,Barcelona,01,Barcelona,41.5256,2.36845,6.9608,
080312,Calaf,06,Anoia,08,Barcelona,07,Catalunya Central,41.734019,1.510944,9.242,
080327,Caldes d'Estrac,21,Maresme,08,Barcelona,01,Barcelona,41.572498,2.527811,0.8353,
080333,Caldes de Montbui,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.634459,2.16293,37.5327,
080348,Calders,42,Moianès,08,Barcelona,07,Catalunya Central,41.789382,1.991878,32.9913,
080351,Calella,21,Maresme,08,Barcelona,01,Barcelona,41.613379,2.657224,8.0215,
080364,Calonge de Segarra,06,Anoia,08,Barcelona,07,Catalunya Central,41.764086,1.481977,37.1128,
080370,Calldetenes,24,Osona,08,Barcelona,07,Catalunya Central,41.92469,2.28454,5.7153,
080386,Callús,07,Bages,08,Barcelona,07,Catalunya Central,41.781278,1.784135,12.387,
080399,Campins,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.724644,2.463431,7.4769,
080403,Canet de Mar,21,Maresme,08,Barcelona,01,Barcelona,41.589325,2.582697,5.5442,
080410,Canovelles,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.621839,2.277179,6.8182,
080425,Cànoves i Samalús,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.69354,2.35439,29.1342,
080431,Canyelles,17,Garraf,08,Barcelona,08,Penedès,41.286159,1.722171,14.1091,
080446,Capellades,06,Anoia,08,Barcelona,08,Penedès,41.531162,1.686052,2.9186,
080459,Capolat,14,Berguedà,08,Barcelona,07,Catalunya Central,42.077972,1.753092,34.3476,
080462,Cardedeu,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.638528,2.355953,12.2775,
080478,Cardona,07,Bages,08,Barcelona,07,Catalunya Central,41.913297,1.681131,66.3923,
080484,Carme,06,Anoia,08,Barcelona,08,Penedès,41.532178,1.620115,11.325,
080497,Casserres,14,Berguedà,08,Barcelona,07,Catalunya Central,42.013712,1.841712,29.196,
080500,Castellar del Riu,14,Berguedà,08,Barcelona,07,Catalunya Central,42.131042,1.708496,32.8594,
080517,Castellar del Vallès,40,Vallès Occidental,08,Barcelona,01,Barcelona,41.617268,2.08723,45.0705,
080522,Castellar de n'Hug,14,Berguedà,08,Barcelona,07,Catalunya Central,42.282879,2.017189,46.8524,
080538,Castellbell i el Vilar,07,Bages,08,Barcelona,07,Catalunya Central,41.629992,1.863881,28.4659,
080543,Castellbisbal,40,Vallès Occidental,08,Barcelona,01,Barcelona,41.474905,1.980556,30.9644,
080556,Castellcir,42,Moianès,08,Barcelona,07,Catalunya Central,41.760439,2.149716,33.9376,
080569,Castelldefels,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.280472,1.97701,12.9072,
080575,Castell de l'Areny,14,Berguedà,08,Barcelona,07,Catalunya Central,42.173187,1.945379,24.5985,
080581,Castellet i la Gornal,03,Alt Penedès,08,Barcelona,08,Penedès,41.254293,1.590921,46.7762,
080594,Castellfollit del Boix,07,Bages,08,Barcelona,07,Catalunya Central,41.666758,1.683675,59.3555,
080608,Castellfollit de Riubregós,06,Anoia,08,Barcelona,07,Catalunya Central,41.776174,1.438228,26.2786,
080615,Castellgalí,07,Bages,08,Barcelona,07,Catalunya Central,41.676422,1.83972,17.1557,
080620,Castellnou de Bages,07,Bages,08,Barcelona,07,Catalunya Central,41.834282,1.837371,29.121,
080636,Castellolí,06,Anoia,08,Barcelona,08,Penedès,41.598356,1.700684,25.3393,
080641,Castellterçol,42,Moianès,08,Barcelona,07,Catalunya Central,41.751483,2.120535,31.9423,
080654,Castellví de la Marca,03,Alt Penedès,08,Barcelona,08,Penedès,41.326792,1.619222,28.6573,
080667,Castellví de Rosanes,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.448785,1.900291,16.3924,
080673,Centelles,24,Osona,08,Barcelona,07,Catalunya Central,41.797509,2.219071,15.3398,
080689,Cervelló,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.396107,1.959104,24.13,
080692,Collbató,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.570287,1.828168,18.0568,
080706,Collsuspina,42,Moianès,08,Barcelona,07,Catalunya Central,41.825605,2.175213,15.1276,
080713,Copons,06,Anoia,08,Barcelona,08,Penedès,41.637111,1.518708,18.6889,
080728,Corbera de Llobregat,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.417799,1.923042,18.2971,
080734,Cornellà de Llobregat,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.355747,2.070535,6.9281,
080749,Cubelles,17,Garraf,08,Barcelona,08,Penedès,41.208313,1.672373,13.5737,
080752,Dosrius,21,Maresme,08,Barcelona,01,Barcelona,41.594342,2.406756,40.6288,
080765,Esparreguera,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.539014,1.870412,27.3013,
080771,Esplugues de Llobregat,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.377522,2.088005,4.5114,
080787,l'Espunyola,14,Berguedà,08,Barcelona,07,Catalunya Central,42.053127,1.769907,35.6393,
080790,l'Estany,42,Moianès,08,Barcelona,07,Catalunya Central,41.868979,2.112308,10.2438,
080804,Fígols,14,Berguedà,08,Barcelona,07,Catalunya Central,42.180897,1.836142,29.3929,
080811,Fogars de Montclús,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.72792,2.443173,40.068,
080826,Fogars de la Selva,34,Selva,08,Barcelona,02,Girona,41.735011,2.671644,32.1689,
080832,Folgueroles,24,Osona,08,Barcelona,07,Catalunya Central,41.938686,2.318939,10.9284,
080847,Fonollosa,07,Bages,08,Barcelona,07,Catalunya Central,41.763393,1.668692,52.4796,
080850,Font-rubí,03,Alt Penedès,08,Barcelona,08,Penedès,41.414214,1.651765,37.1574,
080863,les Franqueses del Vallès,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.636278,2.297473,29.3633,
080879,Gallifa,40,Vallès Occidental,08,Barcelona,01,Barcelona,41.693235,2.115453,16.3286,
080885,la Garriga,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.685175,2.285701,19.0079,
080898,Gavà,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.303158,2.003336,30.618,
080902,Gaià,07,Bages,08,Barcelona,07,Catalunya Central,41.916493,1.925645,39.3429,
080919,Gelida,03,Alt Penedès,08,Barcelona,08,Penedès,41.440769,1.863724,26.4941,
080924,Gironella,14,Berguedà,08,Barcelona,07,Catalunya Central,42.033556,1.88283,6.846,
080930,Gisclareny,14,Berguedà,08,Barcelona,07,Catalunya Central,42.249921,1.786713,36.7045,
080945,la Granada,03,Alt Penedès,08,Barcelona,08,Penedès,41.37842,1.718924,6.4314,
080958,Granera,42,Moianès,08,Barcelona,07,Catalunya Central,41.725441,2.056667,23.5727,
080961,Granollers,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.607956,2.28755,14.8582,
080977,Gualba,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.731552,2.50189,23.0849,
080983,Sant Salvador de Guardiola,07,Bages,08,Barcelona,07,Catalunya Central,41.679447,1.766947,37.0937,
080996,Guardiola de Berguedà,14,Berguedà,08,Barcelona,07,Catalunya Central,42.233477,1.87918,61.7385,
081000,Gurb,24,Osona,08,Barcelona,07,Catalunya Central,41.955883,2.23449,51.2188,
081017,l'Hospitalet de Llobregat,13,Barcelonès,08,Barcelona,01,Barcelona,41.359698,2.099725,12.6044,
081022,Igualada,06,Anoia,08,Barcelona,08,Penedès,41.578681,1.617229,8.1999,
081038,Jorba,06,Anoia,08,Barcelona,08,Penedès,41.601899,1.547439,31.0492,
081043,la Llacuna,06,Anoia,08,Barcelona,08,Penedès,41.472571,1.533789,52.3359,
081056,la Llagosta,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.512917,2.192967,3.0197,
081069,Llinars del Vallès,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.638986,2.404457,27.6978,
081075,Lliçà d'Amunt,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.611092,2.23801,22.3501,
081081,Lliçà de Vall,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.585998,2.239556,10.764,
081094,Lluçà,43,Lluçanès,08,Barcelona,07,Catalunya Central,42.068304,2.072504,53.2858,
081108,Malgrat de Mar,21,Maresme,08,Barcelona,01,Barcelona,41.646162,2.741868,8.7712,
081115,Malla,24,Osona,08,Barcelona,07,Catalunya Central,41.887066,2.234648,10.956,
081120,Manlleu,24,Osona,08,Barcelona,07,Catalunya Central,42.001035,2.283959,17.1674,
081136,Manresa,07,Bages,08,Barcelona,07,Catalunya Central,41.723264,1.826997,41.6383,
081141,Martorell,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.47442,1.930625,12.7666,
081154,Martorelles,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.525525,2.243263,3.6075,
081167,les Masies de Roda,24,Osona,08,Barcelona,07,Catalunya Central,41.989967,2.318064,16.199,
081173,les Masies de Voltregà,24,Osona,08,Barcelona,07,Catalunya Central,42.022664,2.232917,21.8278,
081189,el Masnou,21,Maresme,08,Barcelona,01,Barcelona,41.479227,2.316344,3.465,
081192,Masquefa,06,Anoia,08,Barcelona,08,Penedès,41.502196,1.811023,17.4342,
081206,Matadepera,40,Vallès Occidental,08,Barcelona,01,Barcelona,41.596819,2.026406,25.3506,
081213,Mataró,21,Maresme,08,Barcelona,01,Barcelona,41.540826,2.446259,22.4178,
081228,Mediona,03,Alt Penedès,08,Barcelona,08,Penedès,41.47748,1.611264,47.948,
081234,Molins de Rei,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.413902,2.015894,15.7239,
081249,Mollet del Vallès,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.536329,2.211046,10.7926,
081252,Montcada i Reixac,40,Vallès Occidental,08,Barcelona,01,Barcelona,41.486605,2.187992,23.532,
081265,Montgat,21,Maresme,08,Barcelona,01,Barcelona,41.466604,2.279058,2.8471,
081271,Monistrol de Montserrat,07,Bages,08,Barcelona,07,Catalunya Central,41.609623,1.842495,11.9055,
081287,Monistrol de Calders,42,Moianès,08,Barcelona,07,Catalunya Central,41.759848,2.01387,21.9776,
081290,Muntanyola,24,Osona,08,Barcelona,07,Catalunya Central,41.878288,2.177829,40.4734,
081304,Montclar,14,Berguedà,08,Barcelona,07,Catalunya Central,42.018182,1.76544,21.9062,
081311,Montesquiu,24,Osona,08,Barcelona,07,Catalunya Central,42.109992,2.209748,4.8438,
081326,Montmajor,14,Berguedà,08,Barcelona,07,Catalunya Central,42.017647,1.73514,76.4215,
081332,Montmaneu,06,Anoia,08,Barcelona,08,Penedès,41.625665,1.414612,13.5245,
081347,Figaró-Montmany,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.721838,2.273187,14.8998,
081350,Montmeló,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.551577,2.248069,3.9688,
081363,Montornès del Vallès,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.544901,2.266213,10.2901,
081379,Montseny,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.759158,2.39491,26.5448,
081385,Moià,42,Moianès,08,Barcelona,07,Catalunya Central,41.813056,2.097144,75.5357,
081398,Mura,07,Bages,08,Barcelona,07,Catalunya Central,41.699573,1.976205,47.8808,
081402,Navarcles,07,Bages,08,Barcelona,07,Catalunya Central,41.751618,1.903757,5.5145,
081419,Navàs,07,Bages,08,Barcelona,07,Catalunya Central,41.899947,1.878918,80.6239,
081424,la Nou de Berguedà,14,Berguedà,08,Barcelona,07,Catalunya Central,42.165761,1.884874,25.1142,
081430,Òdena,06,Anoia,08,Barcelona,08,Penedès,41.60635,1.642397,52.0926,
081445,Olvan,14,Berguedà,08,Barcelona,07,Catalunya Central,42.057078,1.90498,35.6455,
081458,Olèrdola,03,Alt Penedès,08,Barcelona,08,Penedès,41.320164,1.722926,29.915,
081461,Olesa de Bonesvalls,03,Alt Penedès,08,Barcelona,08,Penedès,41.351795,1.850525,31.09,
081477,Olesa de Montserrat,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.545593,1.893095,16.626,
081483,Olivella,17,Garraf,08,Barcelona,08,Penedès,41.310399,1.81099,38.7636,
081496,Olost,43,Lluçanès,08,Barcelona,07,Catalunya Central,41.986027,2.095915,29.0373,
081509,Orís,24,Osona,08,Barcelona,07,Catalunya Central,42.058103,2.239268,27.0215,
081516,Oristà,43,Lluçanès,08,Barcelona,07,Catalunya Central,41.932248,2.060737,68.5925,
081521,Orpí,06,Anoia,08,Barcelona,08,Penedès,41.528655,1.606865,15.3009,
081537,Òrrius,21,Maresme,08,Barcelona,01,Barcelona,41.555105,2.354759,5.5666,
081542,Pacs del Penedès,03,Alt Penedès,08,Barcelona,08,Penedès,41.362004,1.669486,6.1169,
081555,Palafolls,21,Maresme,08,Barcelona,01,Barcelona,41.666963,2.749379,16.4834,
081568,Palau-solità i Plegamans,40,Vallès Occidental,08,Barcelona,01,Barcelona,41.587378,2.17857,14.9736,
081574,Pallejà,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.421431,1.996615,8.4283,
081580,el Papiol,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.438999,2.01062,8.8475,
081593,Parets del Vallès,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.573058,2.234375,9.125,
081607,Perafita,43,Lluçanès,08,Barcelona,07,Catalunya Central,42.042262,2.106796,19.7612,
081614,Piera,06,Anoia,08,Barcelona,08,Penedès,41.517654,1.742556,57.1897,
081629,els Hostalets de Pierola,06,Anoia,08,Barcelona,08,Penedès,41.534759,1.769372,33.3865,
081635,Pineda de Mar,21,Maresme,08,Barcelona,01,Barcelona,41.627442,2.689338,10.1792,
081640,el Pla del Penedès,03,Alt Penedès,08,Barcelona,08,Penedès,41.41751,1.712947,9.3894,
081653,la Pobla de Claramunt,06,Anoia,08,Barcelona,08,Penedès,41.554205,1.674781,18.5425,
081666,la Pobla de Lillet,14,Berguedà,08,Barcelona,07,Catalunya Central,42.244149,1.974162,51.5344,
081672,Polinyà,40,Vallès Occidental,08,Barcelona,01,Barcelona,41.557633,2.156559,8.914,
081688,Pontons,03,Alt Penedès,08,Barcelona,08,Penedès,41.415632,1.516827,25.7726,
081691,el Prat de Llobregat,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.330513,2.093103,33.4473,
081705,els Prats de Rei,06,Anoia,08,Barcelona,07,Catalunya Central,41.705429,1.541727,26.0131,
081712,Prats de Lluçanès,43,Lluçanès,08,Barcelona,07,Catalunya Central,42.008975,2.029558,13.5442,
081727,Premià de Mar,21,Maresme,08,Barcelona,01,Barcelona,41.492392,2.358107,2.1098,
081748,Puigdàlber,03,Alt Penedès,08,Barcelona,08,Penedès,41.404407,1.700908,0.6281,
081751,Puig-reig,14,Berguedà,08,Barcelona,07,Catalunya Central,41.974739,1.878838,45.8567,
081764,Pujalt,06,Anoia,08,Barcelona,07,Catalunya Central,41.717144,1.420825,31.5053,
081770,la Quar,14,Berguedà,08,Barcelona,07,Catalunya Central,42.081016,1.96165,38.0898,
081786,Rajadell,07,Bages,08,Barcelona,07,Catalunya Central,41.728041,1.706016,45.5254,
081799,Rellinars,40,Vallès Occidental,08,Barcelona,01,Barcelona,41.637353,1.910811,17.8302,
081803,Ripollet,40,Vallès Occidental,08,Barcelona,01,Barcelona,41.497105,2.155082,4.3286,
081810,la Roca del Vallès,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.587437,2.325707,37.0352,
081825,el Pont de Vilomara i Rocafort,07,Bages,08,Barcelona,07,Catalunya Central,41.699968,1.870648,27.3584,
081831,Roda de Ter,24,Osona,08,Barcelona,07,Catalunya Central,41.981009,2.309407,2.2256,
081846,Rubí,40,Vallès Occidental,08,Barcelona,01,Barcelona,41.492308,2.031154,32.299,
081859,Rubió,06,Anoia,08,Barcelona,08,Penedès,41.644454,1.569969,47.9963,
081878,Sabadell,40,Vallès Occidental,08,Barcelona,01,Barcelona,41.54622,2.108276,37.8618,
081884,Sagàs,14,Berguedà,08,Barcelona,07,Catalunya Central,42.051927,1.963009,44.9675,
081897,Sant Pere Sallavinera,06,Anoia,08,Barcelona,07,Catalunya Central,41.736691,1.575372,22.0163,
081901,Saldes,14,Berguedà,08,Barcelona,07,Catalunya Central,42.228659,1.735385,66.5905,
081918,Sallent,07,Bages,08,Barcelona,07,Catalunya Central,41.824352,1.896504,65.1703,
081923,Santpedor,07,Bages,08,Barcelona,07,Catalunya Central,41.78307,1.839202,16.7293,
081939,Sant Iscle de Vallalta,21,Maresme,08,Barcelona,01,Barcelona,41.624424,2.568723,17.8729,
081944,Sant Adrià de Besòs,13,Barcelonès,08,Barcelona,01,Barcelona,41.430585,2.218174,3.8121,
081957,Sant Agustí de Lluçanès,24,Osona,08,Barcelona,07,Catalunya Central,42.085002,2.127137,13.5722,
081960,Sant Andreu de la Barca,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.446816,1.975557,5.6202,
081976,Sant Andreu de Llavaneres,21,Maresme,08,Barcelona,01,Barcelona,41.574421,2.483268,11.9104,
081982,Sant Antoni de Vilamajor,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.673531,2.401225,13.8251,
081995,Sant Bartomeu del Grau,24,Osona,08,Barcelona,07,Catalunya Central,41.981046,2.174858,34.6333,
082009,Sant Boi de Llobregat,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.346778,2.045211,21.5289,
082016,Sant Boi de Lluçanès,24,Osona,08,Barcelona,07,Catalunya Central,42.057126,2.151867,20.039,
082021,Sant Celoni,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.689975,2.49201,65.215,
